STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,THEFT,TOTAL IPC CRIMES
MADHYA PRADESH,BHOPAL,2003,54,93,55,1640,14689
MADHYA PRADESH,BHOPAL RLY.,2003,5,3,1,1086,1504
MADHYA PRADESH,BURHANPUR,2003,6,7,0,37,456
MADHYA PRADESH,CHHATARPUR,2003,55,56,11,135,3042
MADHYA PRADESH,CHHINDWARA,2003,45,82,14,181,3539
MADHYA PRADESH,DAMOH,2003,47,49,18,114,2676
MADHYA PRADESH,DATIYA,2003,55,30,13,132,1987
MADHYA PRADESH,DEWAS,2003,57,88,34,999,8478
MADHYA PRADESH,DHAR,2003,87,82,27,515,4938
MADHYA PRADESH,DINDORI,2003,14,37,2,44,1035
MADHYA PRADESH,GUNA,2003,37,83,8,254,3578
MADHYA PRADESH,GWALIOR,2003,91,72,81,967,7833
MADHYA PRADESH,HARDA,2003,13,25,1,83,828
MADHYA PRADESH,HOSHANGABAD,2003,49,70,10,357,3361
MADHYA PRADESH,INDORE,2003,93,77,61,2856,15998
MADHYA PRADESH,INDORE RLY.,2003,4,0,0,111,202
MADHYA PRADESH,JABALPUR,2003,92,103,45,1151,10004
MADHYA PRADESH,JABALPUR RLY.,2003,1,0,3,223,397
MADHYA PRADESH,JHABUA,2003,119,36,37,214,3371
MADHYA PRADESH,KATNI,2003,35,37,6,225,2557
MADHYA PRADESH,KHANDWA,2003,31,53,20,222,2791
MADHYA PRADESH,KHARGON,2003,37,50,13,646,4161
MADHYA PRADESH,MANDLA,2003,37,39,2,113,2147
MADHYA PRADESH,MANDSAUR,2003,30,45,12,413,2758
MADHYA PRADESH,MORENA,2003,57,40,32,458,4487
MADHYA PRADESH,NARSINGHPUR,2003,44,40,3,127,2146
MADHYA PRADESH,NEEMUCH,2003,13,31,9,313,2116
MADHYA PRADESH,PANNA,2003,36,32,7,122,1632
MADHYA PRADESH,RAISEN,2003,35,75,8,208,3376
MADHYA PRADESH,RAJGARH,2003,31,88,9,328,4066
MADHYA PRADESH,RATLAM,2003,45,62,14,443,3447
MADHYA PRADESH,REWA,2003,57,41,36,393,4450
MADHYA PRADESH,SAGAR,2003,59,121,30,521,6856
MADHYA PRADESH,SATNA,2003,61,59,18,362,4537
MADHYA PRADESH,SEONI,2003,27,54,1,93,1895
MADHYA PRADESH,SHAHDOL,2003,60,68,12,301,4165
MADHYA PRADESH,SHAJAPUR,2003,31,71,13,535,3718
MADHYA PRADESH,SHEOPUR,2003,15,19,4,96,1254
MADHYA PRADESH,SHIVPURI,2003,60,69,47,210,3473
MADHYA PRADESH,SIDHI,2003,44,38,26,303,3717
MADHYA PRADESH,SIHORE,2003,32,86,6,336,3212
MADHYA PRADESH,TIKAMGARH,2003,40,50,15,154,2678
MADHYA PRADESH,UJJAIN,2003,58,59,40,1174,7634
MADHYA PRADESH,UMARIYA,2003,27,20,0,69,1244
MADHYA PRADESH,VIDISHA,2003,41,94,9,286,3710
MADHYA PRADESH,TOTAL,2003,2227,2738,887,20422,191078
MAHARASHTRA,AHMEDNAGAR,2003,101,44,27,786,4251
MAHARASHTRA,AKOLA,2003,48,29,29,727,3900
MAHARASHTRA,AMRAVATI COMMR.,2003,31,26,15,948,2986
MAHARASHTRA,AMRAVATI RURAL,2003,53,47,17,902,3763
MAHARASHTRA,AURANGABAD COMMR.,2003,28,8,19,506,2286
MAHARASHTRA,AURANGABAD RURAL,2003,60,14,4,281,2675
MAHARASHTRA,BEED,2003,72,25,17,599,3887
MAHARASHTRA,BHANDARA,2003,30,41,7,361,2313
MAHARASHTRA,BULDHANA,2003,53,39,17,723,3821
MAHARASHTRA,CHANDRAPUR,2003,41,36,13,574,3033
MAHARASHTRA,DHULE,2003,32,7,5,219,1754
MAHARASHTRA,GADCHIROLI,2003,58,30,17,131,1501
MAHARASHTRA,GONDIA,2003,41,25,12,300,1875
MAHARASHTRA,HINGOLI,2003,28,14,7,142,1735
MAHARASHTRA,JALGAON,2003,82,38,20,475,3927
MAHARASHTRA,JALNA,2003,53,8,15,309,2430
MAHARASHTRA,KOLHAPUR,2003,66,15,18,508,3358
MAHARASHTRA,LATUR,2003,56,21,15,291,3074
MAHARASHTRA,MUMBAI,2003,242,133,150,9793,25686
MAHARASHTRA,MUMBAI RLY.,2003,9,4,2,1589,1841
MAHARASHTRA,NAGPUR COMMR.,2003,104,26,36,2022,7357
MAHARASHTRA,NAGPUR RLY.,2003,8,1,2,940,1169
MAHARASHTRA,NAGPUR RURAL,2003,73,52,23,860,4644
MAHARASHTRA,NANDED,2003,71,33,24,518,5829
MAHARASHTRA,NANDURBAR,2003,43,10,10,134,1283
MAHARASHTRA,NASIK COMMR.,2003,27,11,14,705,2542
MAHARASHTRA,NASIK RURAL,2003,110,54,20,447,4384
MAHARASHTRA,NAVI MUMBAI,2003,50,16,17,782,2861
MAHARASHTRA,OSMANABAD,2003,38,12,7,329,2507
MAHARASHTRA,PARBHANI,2003,52,13,12,205,2350
MAHARASHTRA,PUNE COMMR.,2003,110,40,46,2740,8813
MAHARASHTRA,PUNE RLY.,2003,0,3,0,192,261
MAHARASHTRA,PUNE RURAL,2003,127,29,26,661,4479
MAHARASHTRA,RAIGAD,2003,50,25,19,274,2179
MAHARASHTRA,RATNAGIRI,2003,20,16,5,178,1272
MAHARASHTRA,SANGLI,2003,78,47,24,498,2713
MAHARASHTRA,SATARA,2003,61,17,14,506,3164
MAHARASHTRA,SINDHUDURG,2003,14,8,8,93,810
MAHARASHTRA,SOLAPUR COMMR.,2003,22,15,15,351,1682
MAHARASHTRA,SOLAPUR RURAL,2003,112,44,22,367,3230
MAHARASHTRA,THANE COMMR.,2003,111,51,58,1872,6708
MAHARASHTRA,THANE RURAL,2003,149,51,32,537,4008
MAHARASHTRA,WARDHA,2003,48,25,15,655,3783
MAHARASHTRA,WASHIM,2003,27,15,13,323,1959
MAHARASHTRA,YAVATMAL,2003,83,50,38,745,4223
MAHARASHTRA,TOTAL,2003,2772,1268,926,37098,164306
MANIPUR,BISHNUPUR,2003,22,2,10,11,274
MANIPUR,CHANDEL,2003,17,0,3,5,83
MANIPUR,CHURACHANDPUR,2003,14,0,4,16,97
MANIPUR,IMPHAL(EAST),2003,25,3,18,44,458
MANIPUR,IMPHAL(WEST),2003,28,5,41,131,941
MANIPUR,SENAPATI,2003,17,0,7,3,132
MANIPUR,TAMENGLONG,2003,3,0,0,5,24
MANIPUR,THOUBAL,2003,22,8,34,33,488
MANIPUR,UKHRUL,2003,2,0,3,4,40
MANIPUR,TOTAL,2003,150,18,120,252,2537
MEGHALAYA,GARO HILLS EAST,2003,14,1,7,20,132
MEGHALAYA,GARO HILLS SOUTH,2003,7,3,3,7,46
MEGHALAYA,GARO HILLS WEST,2003,24,6,18,24,200
MEGHALAYA,JAINTIA HILLS,2003,52,11,0,41,264
MEGHALAYA,KHASI HILLS EAST,2003,45,10,14,211,770
MEGHALAYA,KHASI HILLS WEST,2003,17,6,2,18,91
MEGHALAYA,RI-BHOI,2003,16,3,5,39,166
MEGHALAYA,TOTAL,2003,175,40,49,360,1669
MIZORAM,AIZAWL,2003,14,24,4,709,1871
MIZORAM,CHAMPHAI,2003,6,10,1,67,221
MIZORAM,KOLASIB,2003,5,5,2,77,253
MIZORAM,LAWNGTLAI,2003,6,1,0,50,144
MIZORAM,LUNGLEI,2003,6,6,0,205,355
MIZORAM,MAMIT,2003,2,1,0,34,93
MIZORAM,SAIHA,2003,6,4,1,101,360
MIZORAM,SERCHHIP,2003,1,3,0,60,159
MIZORAM,TOTAL,2003,46,54,8,1303,3456
NAGALAND,DIMAPUR,2003,15,2,12,74,238
NAGALAND,KIPHIRE,2003,1,1,1,2,16
NAGALAND,KOHIMA,2003,28,5,2,53,245
NAGALAND,MOKOKCHUNG,2003,8,1,10,9,103
NAGALAND,MON,2003,7,2,1,21,84
NAGALAND,PEREN,2003,4,1,4,5,27
NAGALAND,PHEK,2003,8,2,6,3,65
NAGALAND,TUENSANG,2003,9,0,0,11,56
NAGALAND,WOKHA,2003,5,0,2,40,85
NAGALAND,ZUNHEBOTO,2003,6,0,0,3,57
NAGALAND,TOTAL,2003,91,14,38,221,976
ODISHA,ANGUL,2003,42,20,9,167,1614
ODISHA,BALASORE,2003,45,49,40,186,2545
ODISHA,BARAGARH,2003,27,30,4,124,1372
ODISHA,BERHAMPUR,2003,13,12,6,120,1097
ODISHA,BHADRAK,2003,17,25,21,82,1410
ODISHA,BOLANGIR,2003,24,25,4,123,1648
ODISHA,BOUDH,2003,14,11,6,40,405
ODISHA,CUTTACK,2003,47,32,32,576,3985
ODISHA,DEOGARH,2003,12,5,11,26,502
ODISHA,DHENKANAL,2003,34,9,9,65,1187
ODISHA,GAJAPATI,2003,9,4,5,25,368
ODISHA,GANJAM,2003,54,17,9,157,2026
ODISHA,JAGATSINGHPUR,2003,22,13,23,139,1302
ODISHA,JAJPUR,2003,23,17,22,173,1630
ODISHA,JHARSUGUDA,2003,22,15,8,81,962
ODISHA,KALAHANDI,2003,14,18,9,82,780
ODISHA,KANDHAMAL,2003,25,35,24,78,945
ODISHA,KENDRAPARA,2003,26,10,16,83,930
ODISHA,KEONJHAR,2003,76,37,25,157,1973
ODISHA,KHURDA,2003,65,57,47,1016,5271
ODISHA,KORAPUT,2003,41,38,23,162,1534
ODISHA,MALKANGIR,2003,31,17,5,47,440
ODISHA,MAYURBHANJ,2003,79,70,28,173,2213
ODISHA,NAYAGARH,2003,28,15,18,93,903
ODISHA,NOWRANGPUR,2003,17,26,16,67,708
ODISHA,NUAPADA,2003,10,6,4,41,562
ODISHA,PURI,2003,49,39,19,211,2442
ODISHA,RAYAGADA,2003,27,14,5,67,881
ODISHA,ROURKELA,2003,23,10,4,181,1178
ODISHA,SAMBALPUR,2003,29,22,10,220,1775
ODISHA,SONEPUR,2003,9,4,2,45,466
ODISHA,SRP(CUTTACK),2003,3,1,3,335,509
ODISHA,SRP(ROURKELA),2003,4,1,1,86,211
ODISHA,SUNDARGARH,2003,83,21,9,131,1507
ODISHA,TOTAL,2003,1044,725,477,5359,47281
PUNJAB,AMRITSAR,2003,49,11,38,161,1422
PUNJAB,BARNALA,2003,16,15,12,48,623
PUNJAB,BATALA,2003,34,13,12,60,715
PUNJAB,BHATINDA,2003,51,15,16,147,1330
PUNJAB,FARIDKOT,2003,12,10,7,55,561
PUNJAB,FATEHGARH SAHIB,2003,11,9,8,30,482
PUNJAB,FEROZEPUR,2003,51,30,20,250,1909
PUNJAB,G.R.P,2003,10,1,1,26,377
PUNJAB,GURDASPUR,2003,23,15,5,30,669
PUNJAB,HOSHIARPUR,2003,38,30,27,107,1205
PUNJAB,JAGRAON,2003,23,12,10,45,597
PUNJAB,JALANDHAR,2003,55,33,64,380,3019
PUNJAB,KAPURTHALA,2003,22,11,11,64,887
PUNJAB,KHANNA,2003,18,7,10,52,612
PUNJAB,LUDHIANA,2003,64,38,85,756,4663
PUNJAB,MAJITHA,2003,42,12,12,57,769
PUNJAB,MANSA,2003,17,11,7,53,546
PUNJAB,MOGA,2003,27,9,14,102,832
PUNJAB,MUKTSAR,2003,15,9,6,37,506
PUNJAB,NAWAN SHAHR,2003,15,14,15,85,737
PUNJAB,PATIALA,2003,49,33,36,325,2949
PUNJAB,ROPAR,2003,24,10,19,122,1420
PUNJAB,SANGRUR,2003,33,19,18,154,1328
PUNJAB,TARN TARAN,2003,32,13,11,52,598
PUNJAB,TOTAL,2003,731,380,464,3198,28756
RAJASTHAN,AJMER,2003,47,36,100,736,6360
RAJASTHAN,ALWAR,2003,80,50,81,1121,7118
RAJASTHAN,BANSWARA,2003,35,53,54,128,3171
RAJASTHAN,BARAN,2003,25,50,66,398,3486
RAJASTHAN,BARMER,2003,16,16,26,196,2424
RAJASTHAN,BHARATPUR,2003,91,41,105,841,7191
RAJASTHAN,BHILWARA,2003,24,42,148,815,5890
RAJASTHAN,BIKANER,2003,50,27,41,352,3512
RAJASTHAN,BUNDI,2003,28,42,69,364,3648
RAJASTHAN,CHITTORGARH,2003,50,78,191,657,6574
RAJASTHAN,CHURU,2003,29,22,29,243,2866
RAJASTHAN,DAUSA,2003,33,17,40,411,3482
RAJASTHAN,DHOLPUR,2003,40,20,32,226,2530
RAJASTHAN,DUNGARPUR,2003,30,15,29,55,1885
RAJASTHAN,G.R.P.,2003,5,0,3,536,858
RAJASTHAN,GANGANAGAR,2003,59,75,51,389,5236
RAJASTHAN,HANUMANGARH,2003,59,56,32,377,3818
RAJASTHAN,JAIPUR,2003,92,57,226,3161,18758
RAJASTHAN,JAISALMER,2003,3,3,10,120,696
RAJASTHAN,JALORE,2003,22,6,36,147,2404
RAJASTHAN,JHALAWAR,2003,32,50,69,325,3262
RAJASTHAN,JHUNJHUNU,2003,41,27,47,269,3607
RAJASTHAN,JODHPUR,2003,39,34,96,1011,6824
RAJASTHAN,KARAULI,2003,28,34,76,267,3217
RAJASTHAN,KOTA,2003,35,35,134,987,6030
RAJASTHAN,NAGAUR,2003,45,32,40,399,4476
RAJASTHAN,PALI,2003,38,27,80,318,4969
RAJASTHAN,RAJSAMAND,2003,21,12,58,166,2639
RAJASTHAN,SAWAI MADHOPUR,2003,24,21,42,303,3098
RAJASTHAN,SIKAR,2003,33,15,41,276,3552
RAJASTHAN,SIROHI,2003,27,11,35,140,2055
RAJASTHAN,TONK,2003,20,11,60,291,3837
RAJASTHAN,UDAIPUR,2003,61,35,91,431,6106
RAJASTHAN,TOTAL,2003,1262,1050,2238,16456,145579
SIKKIM,EAST,2003,7,5,0,41,280
SIKKIM,NORTH,2003,1,2,0,2,14
SIKKIM,SOUTH,2003,3,1,0,19,91
SIKKIM,WEST,2003,3,2,0,3,58
SIKKIM,TOTAL,2003,14,10,0,65,443
TAMIL NADU,CHENGAI,2003,84,17,39,1170,11079
TAMIL NADU,CHENNAI,2003,71,38,34,3779,8580
TAMIL NADU,CHENNAI RLY.,2003,0,0,0,199,574
TAMIL NADU,COIMBATORE RURAL,2003,72,16,19,1146,9257
TAMIL NADU,COIMBATORE URBAN,2003,22,4,6,993,3187
TAMIL NADU,CUDDALORE,2003,62,19,21,494,6098
TAMIL NADU,DHARMAPURI,2003,90,23,41,332,6099
TAMIL NADU,DINDIGUL,2003,62,18,23,467,5020
TAMIL NADU,ERODE,2003,53,11,46,676,6052
TAMIL NADU,KANCHIPURAM,2003,48,31,16,471,5087
TAMIL NADU,KANYAKUMARI,2003,38,11,9,232,3502
TAMIL NADU,KARUR,2003,26,3,13,296,2414
TAMIL NADU,MADURAI RURAL,2003,48,22,31,383,4110
TAMIL NADU,MADURAI URBAN,2003,27,7,24,468,3253
TAMIL NADU,NAGAPATTINAM,2003,41,5,24,259,3636
TAMIL NADU,NAMAKKAL,2003,31,7,22,257,3558
TAMIL NADU,NILGIRIS,2003,18,9,3,144,1599
TAMIL NADU,PERAMBALUR,2003,31,13,36,204,2438
TAMIL NADU,PUDUKOTTAI,2003,32,8,21,185,3262
TAMIL NADU,RAMNATHAPURAM,2003,26,10,15,217,2959
TAMIL NADU,SALEM RURAL,2003,78,35,69,357,6310
TAMIL NADU,SALEM URBAN,2003,15,11,9,337,2070
TAMIL NADU,SIVAGANGAI,2003,24,4,25,231,2721
TAMIL NADU,THANJAVUR,2003,60,14,53,452,3985
TAMIL NADU,THENI,2003,35,6,7,246,3054
TAMIL NADU,THIRUNELVELI RURAL,2003,54,43,30,439,6367
TAMIL NADU,THIRUNELVELI URBAN,2003,12,4,10,124,1065
TAMIL NADU,THIRUVALLUR,2003,25,14,23,279,3184
TAMIL NADU,THIRUVANNAMALAI,2003,38,25,26,358,3949
TAMIL NADU,THIRUVARUR,2003,14,9,11,242,2776
TAMIL NADU,THOOTHUGUDI,2003,76,21,35,550,5353
TAMIL NADU,TRICHY RLY.,2003,0,0,0,47,177
TAMIL NADU,TRICHY RURAL,2003,44,7,9,229,3037
TAMIL NADU,TRICHY URBAN,2003,17,6,14,449,2470
TAMIL NADU,VELLORE,2003,87,20,42,591,7354
TAMIL NADU,VILLUPURAM,2003,77,39,52,412,6735
TAMIL NADU,VIRUDHUNAGAR,2003,53,27,21,498,4815
TAMIL NADU,TOTAL,2003,1591,557,879,18213,157186
TRIPURA,DHALAI,2003,40,5,36,13,530
TRIPURA,NORTH,2003,40,36,35,54,719
TRIPURA,SOUTH,2003,38,37,18,53,897
TRIPURA,WEST,2003,136,36,57,156,1368
TRIPURA,TOTAL,2003,254,114,146,276,3514
UTTAR PRADESH,AGRA,2003,126,27,99,724,3438
UTTAR PRADESH,ALIGARH,2003,156,24,92,454,2325
UTTAR PRADESH,ALLAHABAD,2003,119,21,57,359,2512
UTTAR PRADESH,AMBEDKAR NAGAR,2003,12,7,15,59,406
UTTAR PRADESH,AURAIYA,2003,32,4,24,43,745
UTTAR PRADESH,AZAMGARH,2003,89,6,26,116,1404
UTTAR PRADESH,BADAUN,2003,182,31,73,175,1834
UTTAR PRADESH,BAGHPAT,2003,81,12,17,85,690
UTTAR PRADESH,BAHRAICH,2003,41,5,12,47,1144
UTTAR PRADESH,BALLIA,2003,32,2,5,81,652
UTTAR PRADESH,BALRAMPUR,2003,15,3,7,24,255
UTTAR PRADESH,BANDA,2003,49,10,10,49,746
UTTAR PRADESH,BARABANKI,2003,55,12,26,114,1033
UTTAR PRADESH,BAREILLY,2003,194,32,70,333,2545
UTTAR PRADESH,BASTI,2003,38,5,11,76,1233
UTTAR PRADESH,BIJNOR,2003,81,20,33,150,1869
UTTAR PRADESH,BULANDSHAHAR,2003,144,13,36,324,1870
UTTAR PRADESH,CHANDOLI,2003,30,3,5,52,390
UTTAR PRADESH,CHITRAKOOT DHAM,2003,30,10,13,15,299
UTTAR PRADESH,DEORIA,2003,34,3,14,67,844
UTTAR PRADESH,ETAH,2003,137,18,55,131,1555
UTTAR PRADESH,ETAWAH,2003,44,2,30,92,808
UTTAR PRADESH,FAIZABAD,2003,31,10,11,59,704
UTTAR PRADESH,FATEHGARH,2003,72,7,17,66,851
UTTAR PRADESH,FATEHPUR,2003,73,3,20,62,913
UTTAR PRADESH,FIROZABAD,2003,95,12,63,186,1715
UTTAR PRADESH,G.R.P.,2003,19,3,3,2487,3278
UTTAR PRADESH,GAUTAMBUDH NAGAR,2003,66,10,27,425,1085
UTTAR PRADESH,GHAZIABAD,2003,176,15,73,931,2627
UTTAR PRADESH,GHAZIPUR,2003,48,2,8,62,659
UTTAR PRADESH,GONDA,2003,21,5,10,54,912
UTTAR PRADESH,GORAKHPUR,2003,82,13,37,215,1690
UTTAR PRADESH,HAMIRPUR,2003,36,10,7,41,365
UTTAR PRADESH,HARDOI,2003,101,24,38,129,1446
UTTAR PRADESH,HATHRAS,2003,52,21,38,141,1387
UTTAR PRADESH,J.P.NAGAR,2003,62,6,20,86,1066
UTTAR PRADESH,JALAUN,2003,68,6,23,75,734
UTTAR PRADESH,JAUNPUR,2003,33,4,16,100,1108
UTTAR PRADESH,JHANSI,2003,54,4,20,123,1516
UTTAR PRADESH,KANNAUJ,2003,64,4,29,48,870
UTTAR PRADESH,KANPUR DEHAT,2003,37,6,26,107,1218
UTTAR PRADESH,KANPUR NAGAR,2003,187,24,84,830,3231
UTTAR PRADESH,KAUSHAMBI,2003,56,17,8,45,503
UTTAR PRADESH,KHIRI,2003,99,28,48,173,2108
UTTAR PRADESH,KUSHI NAGAR,2003,37,5,18,70,731
UTTAR PRADESH,LALITPUR,2003,12,5,5,23,344
UTTAR PRADESH,LUCKNOW,2003,176,38,118,1753,6806
UTTAR PRADESH,MAHARAJGANJ,2003,28,4,13,30,679
UTTAR PRADESH,MAHOBA,2003,32,2,7,38,386
UTTAR PRADESH,MAINPURI,2003,108,7,30,96,1073
UTTAR PRADESH,MATHURA,2003,94,16,36,293,1520
UTTAR PRADESH,MAU,2003,38,5,11,65,745
UTTAR PRADESH,MEERUT,2003,193,40,85,665,2705
UTTAR PRADESH,MIRZAPUR,2003,31,6,11,68,544
UTTAR PRADESH,MORADABAD,2003,156,43,63,313,2037
UTTAR PRADESH,MUZAFFARNAGAR,2003,186,32,74,346,2485
UTTAR PRADESH,PILIBHIT,2003,63,21,36,132,1181
UTTAR PRADESH,PRATAPGARH,2003,44,9,22,79,1001
UTTAR PRADESH,RAIBAREILLY,2003,69,20,27,153,1445
UTTAR PRADESH,RAMPUR,2003,63,13,24,126,1149
UTTAR PRADESH,SAHARANPUR,2003,82,17,63,230,1623
UTTAR PRADESH,SANT KABIRNAGAR,2003,19,0,5,23,378
UTTAR PRADESH,SHAHJAHANPUR,2003,162,17,65,162,1446
UTTAR PRADESH,SHRAWASTI,2003,15,3,4,18,237
UTTAR PRADESH,SIDHARTHNAGAR,2003,10,2,7,29,634
UTTAR PRADESH,SITAPUR,2003,129,47,58,287,1905
UTTAR PRADESH,SONBHADRA,2003,19,5,6,39,334
UTTAR PRADESH,ST.RAVIDASNAGAR,2003,18,2,2,42,285
UTTAR PRADESH,SULTANPUR,2003,62,18,22,151,1249
UTTAR PRADESH,UNNAO,2003,111,23,22,124,1887
UTTAR PRADESH,VARANASI,2003,74,7,18,381,1681
UTTAR PRADESH,TOTAL,2003,5284,911,2208,15751,95073
UTTARAKHAND,ALMORA,2003,15,1,1,47,254
UTTARAKHAND,BAGESHWAR,2003,11,4,0,17,102
UTTARAKHAND,CHAMOLI,2003,9,4,3,14,201
UTTARAKHAND,CHAMPAWAT,2003,7,1,3,14,123
UTTARAKHAND,DEHRADUN,2003,31,16,30,311,1673
UTTARAKHAND,HARIDWAR,2003,75,31,48,388,1776
UTTARAKHAND,NAINITAL,2003,31,9,16,190,875
UTTARAKHAND,PAURI GARHWAL,2003,15,7,14,61,451
UTTARAKHAND,PITHORAGARH,2003,5,3,2,26,305
UTTARAKHAND,RUDRA PRAYAG,2003,8,2,3,9,143
UTTARAKHAND,TEHRI GARHWAL,2003,9,6,4,31,317
UTTARAKHAND,UDHAMSINGH NAGAR,2003,46,14,40,232,1426
UTTARAKHAND,UTTARKASHI,2003,6,9,7,28,277
UTTARAKHAND,TOTAL,2003,268,107,171,1368,7923
WEST BENGAL,24 PARGANAS NORTH,2003,193,92,119,1988,7351
WEST BENGAL,24 PARGANAS SOUTH,2003,125,89,81,1034,6556
WEST BENGAL,ASANSOL,2003,28,8,11,75,1327
WEST BENGAL,BANKURA,2003,41,43,11,240,1341
WEST BENGAL,BIRBHUM,2003,51,48,35,230,1845
WEST BENGAL,BURDWAN,2003,98,61,33,370,3209
WEST BENGAL,COOCHBEHAR,2003,24,53,40,135,1191
WEST BENGAL,DAKSHIN DINAJPUR,2003,22,31,32,84,870
WEST BENGAL,DARJEELING,2003,54,24,26,465,1720
WEST BENGAL,HOOGHLY,2003,88,39,34,594,3031
WEST BENGAL,HOWRAH,2003,25,9,11,107,1113
WEST BENGAL,HOWRAH CITY,2003,18,6,12,275,1417
WEST BENGAL,HOWRAH G.R.P.,2003,11,0,3,292,467
WEST BENGAL,JALPAIGURI,2003,108,60,29,474,2301
WEST BENGAL,KHARAGPUR G.R.P.,2003,2,0,0,108,165
WEST BENGAL,KOLKATA,2003,52,36,108,3684,10714
WEST BENGAL,MALDA,2003,48,57,24,247,1747
WEST BENGAL,MURSHIDABAD,2003,116,106,91,391,3467
WEST BENGAL,NADIA,2003,93,108,59,658,3520
WEST BENGAL,PASCHIM MIDNAPUR,2003,77,50,45,358,2956
WEST BENGAL,PURAB MIDNAPUR,2003,43,33,52,143,1966
WEST BENGAL,PURULIA,2003,46,25,16,147,1089
WEST BENGAL,SEALDAH G.R.P.,2003,22,0,3,207,337
WEST BENGAL,SILIGURI G.R.P.,2003,6,0,2,89,147
WEST BENGAL,UTTAR DINAJPUR,2003,34,24,25,218,1327
WEST BENGAL,TOTAL,2003,1425,1002,902,12613,61174
A & N ISLANDS,ANDAMAN,2003,16,2,2,58,611
A & N ISLANDS,NICOBAR,2003,5,0,0,2,33
A & N ISLANDS,TOTAL,2003,21,2,2,60,644
CHANDIGARH,CHANDIGARH,2003,21,18,32,1238,2806
CHANDIGARH,TOTAL,2003,21,18,32,1238,2806
D & N HAVELI,D and N HAVELI,2003,11,1,7,61,338
D & N HAVELI,TOTAL,2003,11,1,7,61,338
DAMAN & DIU,DAMAN,2003,6,4,1,44,240
DAMAN & DIU,DIU,2003,0,1,0,2,29
DAMAN & DIU,TOTAL,2003,6,5,1,46,269
DELHI UT,CENTRAL,2003,29,20,63,1187,2998
DELHI UT,DELHI UT TOTAL,2003,485,490,1156,15544,47404
DELHI UT,EAST,2003,44,37,158,1757,4331
DELHI UT,G.R.P.(RLY),2003,8,0,6,1015,1168
DELHI UT,I.G.I. AIRPORT,2003,2,0,2,74,668
DELHI UT,NEW DELHI,2003,7,8,24,863,2177
DELHI UT,NORTH,2003,32,34,63,923,3391
DELHI UT,NORTH EAST,2003,54,53,182,796,3125
DELHI UT,NORTH WEST,2003,106,128,301,2191,8782
DELHI UT,S.T.F.,2003,0,0,0,0,68
DELHI UT,SOUTH,2003,86,83,134,3307,8440
DELHI UT,SOUTH WEST,2003,45,57,118,1396,5179
DELHI UT,WEST,2003,72,70,105,2035,7077
LAKSHADWEEP,LAKSHADWEEP,2003,0,2,0,8,31
LAKSHADWEEP,TOTAL,2003,0,2,0,8,31
PUDUCHERRY,PONDICHERRY,2003,29,2,18,567,4517
PUDUCHERRY,TOTAL,2003,29,2,18,567,4517
ANDHRA PRADESH,ADILABAD,2004,113,50,48,256,5011
ANDHRA PRADESH,ANANTAPUR,2004,152,20,51,442,4296
ANDHRA PRADESH,CHITTOOR,2004,105,28,69,1055,6960
ANDHRA PRADESH,CUDDAPAH,2004,96,14,39,275,4107
ANDHRA PRADESH,CYBERABAD,2004,145,40,69,1697,9911
ANDHRA PRADESH,EAST GODAVARI,2004,96,31,47,1106,7741
ANDHRA PRADESH,GUNTAKAL RLY.,2004,8,0,0,177,338
ANDHRA PRADESH,GUNTUR,2004,163,46,88,1479,8544
ANDHRA PRADESH,HYDERABAD CITY,2004,121,56,136,5735,18868
ANDHRA PRADESH,KARIMNAGAR,2004,123,85,124,540,8048
ANDHRA PRADESH,KHAMMAM,2004,108,43,70,482,5928
ANDHRA PRADESH,KRISHNA,2004,60,33,28,732,5377
ANDHRA PRADESH,KURNOOL,2004,112,29,46,328,5372
ANDHRA PRADESH,MAHABOOBNAGAR,2004,183,56,63,479,4545
ANDHRA PRADESH,MEDAK,2004,127,52,49,505,4789
ANDHRA PRADESH,NALGONDA,2004,118,46,72,401,6009
ANDHRA PRADESH,NELLORE,2004,94,107,72,873,7047
ANDHRA PRADESH,NIZAMABAD,2004,96,24,56,360,4804
ANDHRA PRADESH,PRAKASHAM,2004,103,19,44,298,3881
ANDHRA PRADESH,RANGA REDDY,2004,73,25,26,205,2240
ANDHRA PRADESH,SECUNDERABAD RLY.,2004,8,0,0,367,465
ANDHRA PRADESH,SRIKAKULAM,2004,26,15,15,196,2821
ANDHRA PRADESH,VIJAYAWADA,2004,46,19,76,2272,7659
ANDHRA PRADESH,VIJAYAWADA RLY.,2004,1,0,0,288,359
ANDHRA PRADESH,VISAKHA RURAL,2004,50,18,12,184,2903
ANDHRA PRADESH,VISAKHAPATNAM,2004,27,12,27,733,3182
ANDHRA PRADESH,VIZIANAGARAM,2004,42,14,8,196,2464
ANDHRA PRADESH,WARANGAL,2004,111,53,125,670,7717
ANDHRA PRADESH,WEST GODAVARI,2004,72,81,66,1247,7370
ANDHRA PRADESH,TOTAL,2004,2579,1016,1526,23578,158756
ARUNACHAL PRADESH,CHANGLANG,2004,8,9,7,27,162
ARUNACHAL PRADESH,DIBANG VALLEY,2004,1,3,3,15,112
ARUNACHAL PRADESH,K/KUMEY,2004,5,0,1,2,39
